"Delete FAQ","Delete FAQ"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save FAQ","Save FAQ"
"Delete FAQ group","Delete FAQ group"
"Save FAQ Group","Save FAQ Group"
"You deleted the Faq.","You deleted the Faq."
"We can't find a Faq to delete.","We can't find a Faq to delete."
"This FAQ no longer exists.","This FAQ no longer exists."
"New FAQ","New FAQ"
"FAQ","FAQ"
"Please correct the data sent.","Please correct the data sent."
"A total of %1 FAQ(s) were deleted.","A total of %1 FAQ(s) were deleted."
"You saved the FAQ.","You saved the FAQ."
"Something went wrong while saving the FAQ.","Something went wrong while saving the FAQ."
"You deleted the Faq Group.","You deleted the Faq Group."
"We can't find a Faq Group to delete.","We can't find a Faq Group to delete."
"This Faq Group no longer exists.","This Faq Group no longer exists."
"New Faq Group","New Faq Group"
"FAQ Group","FAQ Group"
"A total of %1 FAQ Group(s) were deleted.","A total of %1 FAQ Group(s) were deleted."
"This FAQ Group no longer exists.","This FAQ Group no longer exists."
"You saved the FAQ Group.","You saved the FAQ Group."
"Something went wrong while saving the Faqgroup.","Something went wrong while saving the Faqgroup."
"Could not save the faqGroup: %1","Could not save the faqGroup: %1"
"FaqGroup with id ""%1"" does not exist.","FaqGroup with id ""%1"" does not exist."
"Could not delete the FaqGroup: %1","Could not delete the FaqGroup: %1"
"Could not save the faq: %1","Could not save the faq: %1"
"Faq with id ""%1"" does not exist.","Faq with id ""%1"" does not exist."
"Could not delete the Faq: %1","Could not delete the Faq: %1"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Collapse All","Collapse All"
"Expand All","Expand All"
"No FAQ Group available","No FAQ Group available"
"Delete image","Delete image"
"Mageprince FAQ","Mageprince FAQ"
"Manage FAQ Group","Manage FAQ Group"
"Manage FAQ","Manage FAQ"
"Mageprince Extensions","Mageprince Extensions"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
"Page Style","Page Style"
"Show Group Icon","Show Group Icon"
"Show Group Title","Show Group Title"
"Show Footer Link","Show Footer Link"
"Show Header Link","Show Header Link"
"Enable Collapse All Expand All","Enable Collapse All Expand All"
"Search Engine Optimization","Search Engine Optimization"
"FAQ Url","FAQ Url"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Code for CMS Page and Static block","Code for CMS Page and Static block"
"Select Faq Group","Select Faq Group"
"Show group","Show group"
"Page Type","Page Type"
"Show group title","Show group title"
"General Information","General Information"
"Title","Title"
"Content","Content"
"Group","Group"
"Store View","Store View"
"Customer Group","Customer Group"
"Sort Order","Sort Order"
"Add New FAQ","Add New FAQ"
"Delete Faq(s)","Delete Faq(s)"
"Are you sure you wan't to delete selected Faq(s)?","Are you sure you wan't to delete selected Faq(s)?"
"Created At","Created At"
"Modified At","Modified At"
"Group Name","Group Name"
"Group Image/Icon","Group Image/Icon"
"Add New FAQ Group","Add New FAQ Group"
"Delete Faq Group(s)","Delete Faq Group(s)"
"Are you sure you wan't to delete selected FaqGroup(s)?","Are you sure you wan't to delete selected FaqGroup(s)?"
"Icon","Icon"
